"make","model","raw_n","ave_year","weighted_n","co2_gpm","mpg_city","mpg_highway","weight_unladen"
"Pontiac","Firebird",7,1996,2187.05815,NA,NA,NA,NA
"BMW","X3",15,2014,2177.40408,394,20.0147,26.6404,4145
"Jeep","Renegade",10,2016,2152.41178,349.5,22.6312,30.147225,3267.5
"Cadillac","SRX",6,2011,2152.39998,462.539766081871,17.026525,23.305175,4305.5
"Chrysler","300",9,2009,2148.84876,NA,NA,NA,NA
"Acura","RSX",4,2003,2126.59299,NA,NA,NA,NA
"Toyota","Scion xB",16,2008,2086.59189,370.291666666667,22,28,NA
"Hyundai","Azera",7,2009,2085.74614,NA,NA,NA,NA
"Lexus","GX",7,2009,2081.7441,NA,NA,NA,NA
"Acura","TLX",10,2017,2071.56905,348.75,21.9291,32.70025,3596
"Chevrolet","Blazer",11,1998,2069.38377,NA,NA,NA,NA
"Saturn","Aura",10,2008,2040.43922,403.954545454545,18,29,3529
"Pontiac","Bonneville",3,2002,2016.12149,NA,NA,NA,NA
"Volkswagen","New Beetle",12,2002,2003.9201,370.291666666667,21,28,2874
"Lexus","NX",8,2017,2001.5727,360,22.3219,27.975,4050
"Chevrolet","Trax",10,2017,1997.4239,313,25.4114,32.7237,3208
"Ford","Five Hundred",7,2006,1974.08352,450.753540100251,17.75,24.25,3739
"Fiat","500",6,2014,1960.11671,NA,NA,NA,NA
"Ford","Explorer Sport Trac",6,2004,1952.83188,555.4375,14,19.5,4242
"Chevrolet","Uplander",5,2007,1886.45861,467.736842105263,16,23,4470
"Cadillac","Escalade ESV",3,2010,1849.16188,NA,NA,NA,NA
"Nissan","Titan",3,2009,1803.60259,NA,NA,NA,NA
"Volvo","XC70",11,2008,1799.64961,522.764705882353,15,22,4092
"Volvo","S80",7,2008,1771.2634,480.729532163743,15.5,23.5,4016
"Saab","9-3",8,2006,1748.31652,NA,NA,NA,NA
"Subaru","B9 Tribeca",3,2006,1731.76966,493.722222222222,16,21,4245
"Nissan","Juke",8,2012,1721.99656,317.798212005109,25.8965,30.93165,3146
"Buick","Verano",9,2014,1714.829,372,20.5296,30.5383,3300
"Lexus","SC",5,2002,1705.28613,493.722222222222,16,21,3840
"Mercury","Mariner",12,2008,1692.95246,370.772564935065,24,26,3496
"Ford","Freestyle",4,2006,1682.99289,456.043421052632,17.5,23.5,4036
"Buick","Park Avenue",6,2000,1603.44144,NA,NA,NA,NA
"Lincoln","MKC",10,2016,1560.24073,NA,NA,NA,NA
"Toyota","Celica",4,1997,1512.97833,NA,NA,NA,NA
"Ford","Expedition EL",4,2014,1510.71311,NA,NA,NA,NA
"Mitsubishi","Eclipse",3,2003,1504.82439,423.190476190476,19,26,3042
"Honda","Element",15,2006,1487.03049,NA,NA,NA,NA
"Ford","Econoline",10,2001,1476.35024,613.62619047619,12.75,17.75,5261.5
"Volvo","XC60",17,2014,1473.77088,423.75,17.843425,25.21485,4171
"Chrysler","300M",4,2003,1471.69524,NA,NA,NA,3503
"Ford","Escort",11,1998,1403.83709,336.436428571429,23,32.5,2473
"Chevrolet","Venture",7,2003,1392.63206,469.036111111111,16.5,23,3768.5
"Cadillac","Fleetwood",2,1994,1368.63548,493.722222222222,15,23,4478
"Volkswagen","Eos",3,2008,1368.14541,370.291666666667,20,29,3568
"Volkswagen","Atlas",4,2018,1364.77183,406.5,19.63975,25.5079,4403
"Dodge","Challenger",6,2016,1362.11418,NA,NA,NA,NA
"Lincoln","MKX",9,2013,1358.30032,NA,NA,NA,NA
"Plymouth","Breeze",3,1997,1352.26161,357.769726247987,21,31.5,2909
"Ford","Windstar",3,2000,1348.72201,515.50408496732,15.25,21,3910
"Mercury","Sable",14,2002,1344.26467,423.190476190476,18,25,3465.5
"Cadillac","DTS",4,2008,1333.50274,493.722222222222,15,22.5,4009
"Ford","Fiesta",20,2014,1316.44117,293,27.19595,35.3626,2578
"Hyundai","Elantra GT",9,2015,1315.72778,NA,NA,NA,NA
"Hyundai","Genesis",6,2012,1301.07619,444.35,16.978,25,4024
"Saturn","Outlook",7,2008,1283.3874,480.729532163743,16,23,4722
"Audi","A5",4,2012,1277.44407,362.885833333333,20.9211,29.8925,3781
"Buick","Rainier",7,2005,1257.08563,NA,NA,NA,NA
