"make","model","raw_n","ave_year","weighted_n","co2_gpm","mpg_city","mpg_highway","weight_unladen"
"Infiniti","QX80",1,2014,562.92867,562,13.63315,19.80675,5755.5
"Hyundai","Genesis Coupe",2,2013,557.82032,NA,NA,NA,NA
"Nissan","Versa Note",6,2015,546.40288,NA,NA,NA,2407
"Ram","2500",6,2015,543.36707,NA,NA,NA,NA
"Land Rover","Range Rover",3,2008,528.25373,NA,NA,NA,NA
"Audi","S6",1,2013,518.32531,440,16.761,26.9697,4284
"Infiniti","I30",1,1999,517.67066,423.190476190476,18.5,24.5,3035
"Dodge","Intrepid",5,2001,517.59766,NA,NA,NA,NA
"Hyundai","Veracruz",1,2012,496.40436,480.729532163743,16.25405,21.6292,4348.5
"Chevrolet","Aveo5",2,2010,496.34926,NA,NA,NA,NA
"Subaru","Ascent",4,2019,494.91978,387,20.5379,26.6602,4499
"Cadillac","CT6",1,2017,490.3983,359,21.5537,30.2223,4085
"Nissan","370Z",1,2009,490.3983,NA,NA,NA,3232
"Chevrolet","C2500",1,1998,489.01205,NA,NA,NA,4887
"Toyota","Scion xA",1,2005,489.01205,296.233333333333,27,34.5,2340
"Chevrolet","Corsica",1,2014,488.61102,NA,NA,NA,NA
"Nissan","280ZX",1,1983,478.00413,NA,NA,NA,NA
"Saturn","Other",4,2003,477.57156,NA,NA,NA,NA
"Plymouth","Neon",1,1996,477.53276,336.436428571429,23,32.5,2381
"Volkswagen","CC",4,2014,477.30474,NA,NA,NA,NA
"Dodge","W150 Pickup",1,1985,476.05888,807.909090909091,10,13,NA
"Saab","9-5",4,2004,474.67603,433.770238095238,17.5,26.5,NA
"Toyota","Previa",2,1992,470.19346,508.243464052288,15.5,20,3562.5
"Infiniti","EX35",1,2008,465.83813,467.736842105263,16.5,23.5,3833.5
"Buick","Rendezvous",9,2006,465.20211,474.233187134503,16.25,23,4096
"Ford","Bronco",2,1994,462.66163,NA,NA,NA,NA
"Suzuki","SX4 Crossover",4,2010,460.68975,NA,NA,NA,NA
"Land Rover","Range Rover Evoque",2,2018,446.07847,NA,NA,NA,NA
"Chevrolet","Lumina",4,1996,436.63286,NA,NA,NA,NA
"Chevrolet","Express",5,2007,431.9763,624.205952380952,12.75,16.5,5442.5
"Mazda","Protege",3,2002,431.31197,NA,NA,NA,NA
"Chrysler","Concorde",5,2000,424.47988,433.770238095238,17.5,26,3438
"Cadillac","Fleetwood Brougham",1,1985,422.01529,503.763305322129,16.5,23,NA
"Volvo","V70 XC",2,2001,416.39064,493.722222222222,16,21,NA
"Mitsubishi","Mirage G4",1,2017,415.72115,243,33.62305,40.6274,NA
"Honda","CR-Z",2,2013,415.40451,NA,NA,NA,NA
"Pontiac","Montana",4,2004,411.72128,469.036111111111,16.5,23,3872.5
"Mercedes-Benz","Other",4,2000,409.62561,NA,NA,NA,NA
"Buick","Other",3,2001,409.08905,NA,NA,NA,NA
"Audi","Q7",4,2016,408.01977,NA,NA,NA,NA
"Mercury","Other",2,2007,406.40079,NA,NA,NA,NA
"Volvo","V40",1,2001,406.11965,386.391304347826,20,29,3118
"Mazda","626",3,1999,403.69803,NA,NA,NA,NA
"Land Rover","Range Rover Sport",1,2011,401.11237,613.62619047619,12.23845,17.63995,5598
"Mitsubishi","Galant",6,2005,399.61569,NA,NA,NA,NA
"Volkswagen","Cabrio",3,1999,395.32139,387.123106060606,20,27,2685
"Ford","Transit Connect",2,2012,379.51196,386.391304347826,21.1658,26.4305,3392.5
"Nissan","Quest",6,2013,378.59659,421,19.0424,24.5382,4264
"Lincoln","LS",1,2001,366.34175,493.722222222222,15,23,3587.5
"Cadillac","STS",2,2006,351.81823,NA,NA,NA,NA
"Chrysler","LHS",2,1997,350.37781,467.736842105263,16,24,3527
"Kia","Amanti",2,2004,348.27428,493.722222222222,15,23,4021
"Volvo","S90",1,2018,340.66072,322,23.808,33.3,4091
"Saturn","Astra",3,2008,340.25662,329.148148148148,24,31,2877
"GMC","Safari",1,1997,333.8729,555.4375,15,20,4198
"Infiniti","G35",4,2006,328.69766,NA,NA,NA,NA
"BMW","X2 M",1,2018,320.07519,NA,NA,NA,NA
"Lincoln","Continental",4,2008,317.94748,NA,NA,NA,NA
"Dodge","Nitro",3,2009,315.87153,NA,NA,NA,NA
"Jeep","Commander",3,2007,315.86643,592.466666666667,14,18,4825
"Ford","Excursion",3,2001,313.1329,NA,NA,NA,NA
"Chevrolet","K1500",4,1994,306.38957,636.25,14,17,NA
"Volvo","V50",2,2008,291.44982,NA,NA,NA,NA
"Mitsubishi","Lancer",6,2008,285.21181,370.291666666667,21.5,29,3031
"Infiniti","FX35",4,2006,283.06967,508.243464052288,15,21,4124
"Honda","S2000",3,2002,280.88781,NA,NA,NA,NA
"Cadillac","Seville",4,1995,272.25044,493.722222222222,15,23,3769.5
"Jaguar","S-Type",2,2002,270.92491,NA,NA,NA,NA
"Cadillac","CTS-V",3,2012,270.30316,NA,NA,NA,NA
"Porsche","Boxster",1,2007,265.94474,403.954545454545,19,28,3043.5
"Buick","Envision",4,2017,257.56617,371,21.4792,27.935625,3929
"Volvo","C30",2,2010,250.98788,NA,NA,NA,NA
"Alfa Romeo","Giulia",4,2017,250.37742,390.5,20.3117,28.51435,3632
"Audi","S4",2,2016,247.68272,NA,NA,NA,NA
"Chevrolet","Impala Limited",5,2014,243.85168,410,17.821,29.1471,3602
"Chevrolet","Captiva",4,2012,226.54783,460.393147724383,17.3352,24.0324,4575
"Dodge","Magnum",4,2006,220.68074,444.35,17,24,4069
"Infiniti","JX35",1,2013,220.64429,437.5,18.2223,23.7371,4240.5
"Toyota","Scion iM",1,2016,220.40137,288.5,27.6363,35.42265,2943
"Volvo","V90",1,1998,217.67895,493.722222222222,16,23,3609
"Chevrolet","Prizm",3,2001,216.77209,296.233333333333,26,36,2403
"Mercury","Montego",2,2007,215.63886,445.46365914787,18,24.5,3737.5
"Cadillac","Eldorado",3,1998,201.69635,NA,NA,NA,NA
"Volvo","240",3,1990,199.40182,433.770238095238,18,24,2985
"Honda","Crosstour",4,2014,198.4398,388.25,19.779125,28.6005,3829
"Ford","Escape Hybrid",4,2009,194.66006,297.555803571429,31.5,29,NA
"Ford","Econoline Wagon",3,2001,190.19633,NA,NA,NA,NA
"Mercury","Monterey",2,2004,188.74685,522.764705882353,15,21,4434
"Mitsubishi","Lancer Evolution",1,2005,187.63821,467.736842105263,17,23.5,NA
"Toyota","Land Cruiser",3,2004,187.43954,NA,NA,NA,NA
"Acura","ILX",3,2016,187.16851,309,25.1342,34.8146,3103
"Mercedes-Benz","GLK",2,2014,185.88142,NA,NA,NA,4123
"Nissan","Armada",4,2010,185.86,NA,NA,NA,NA
"BMW",NA,2,2014,177.11982,NA,NA,NA,NA
"BMW","2 Series",2,2016,176.23428,NA,NA,NA,NA
"Ford","Aerostar",1,1995,168.82586,508.243464052288,15,21,3646
"Cadillac","Allante",2,1989,168.77094,NA,NA,NA,NA
"Chevrolet","Caprice",2,1982,166.95807,NA,NA,NA,NA
"Chevrolet","Silverado LD",4,2019,165.48452,513,15.12205,21.10855,5356
"GMC","K1500",1,1986,165.03191,NA,NA,NA,3871
"Isuzu","Trooper",1,2000,161.0181,592.466666666667,13.5,17,4455
"Audi","S5",1,2014,159.21867,426,17.5804,26.7905,3841.5
"Infiniti","G25x",1,2012,159.21867,403.954545454545,19.4394,26.8407,NA
"BMW","6 Series",1,2007,156.49699,524.579861111111,14.5,21.5,4045.5
"Lincoln","Navigator",1,2008,156.49699,634.785714285714,12,18,6070
"Oldsmobile","Eighty Eight",2,1998,154.28349,NA,NA,NA,NA
"Mercedes-Benz","SLK",3,2004,153.42431,NA,NA,NA,NA
"Saab","900",3,1990,151.6434,423.190476190476,18,26,2861
"Nissan","Murano CrossCabriolet",1,2011,151.37405,467.736842105263,16.8538,21.9805,NA
"Infiniti","G37",2,2011,149.95364,444.35,17.7302,24.9966,3661
"Chevrolet","Classic",3,2005,148.59917,355.48,22,31,3106
"Porsche","Macan",3,2016,147.03227,NA,NA,NA,NA
"Nissan","Titan XD",2,2016,140.12594,NA,NA,NA,6423
"Land Rover","LR4",1,2015,137.0046,539,14.5898,19.488,5655
"Infiniti","QX50",3,2016,132.77346,NA,NA,NA,NA
"Audi","Q3",3,2018,132.30553,380,20.2697,28.2208,3825
"GMC","Jimmy",3,1998,131.76545,NA,NA,NA,NA
"Acura","RL",2,2002,124.94538,NA,NA,NA,NA
"GMC","Envoy XL",2,2003,123.96469,NA,NA,NA,NA
"BMW","M3",1,2020,116.68833,354.5,21.90335,29.95395,3908.5
"Chevrolet","Citation",1,1981,115.61848,NA,NA,NA,2404
"Volkswagen","e-Golf",1,2016,107.88714,0,NA,NA,3399.5
"Fiat","500L",2,2014,105.82066,NA,NA,NA,3228.5
"Mercedes-Benz","Sprinter 3500",2,2016,105.58253,NA,NA,NA,NA
"Mitsubishi","Endeavor",2,2009,103.61712,NA,NA,NA,NA
"Mercedes-Benz","400",1,1995,102.54156,NA,NA,NA,NA
"Mercury","Villager",2,2002,102.4047,522.764705882353,15,21,4023.5
"Cadillac","ELR",1,2014,102.15952,91,31,35,4048
"BMW","1 Series",2,2012,102.10465,413.572510822511,18.2541,27.3242,3505
"Toyota","Tercel",2,1994,101.78057,329.148148148148,24,31,1987.5
"MINI","Other",2,2014,101.52419,NA,NA,NA,NA
"Jeep","CJ7",2,1984,101.12467,NA,NA,NA,NA
"GMC","Sonoma",2,1998,100.37451,NA,NA,NA,NA
"Hyundai","Tiburon",2,2004,99.77702,444.35,17,24,2977.5
"Hyundai","Kona",2,2018,99.76266,313.25,26.606,31.3729,3073.5
"Volvo","V60",2,2016,99.49676,NA,NA,NA,NA
"Nissan","cube",2,2010,99.14315,NA,NA,NA,2762
"Chevrolet","K3500",2,1998,99.05811,NA,NA,NA,NA
"Volvo","V60 Cross Country",2,2017,98.53961,NA,NA,NA,3920
"Chevrolet","Tracker",2,1999,98.44761,NA,NA,NA,NA
"Lexus","CT",2,2015,98.12552,NA,NA,NA,NA
"Hyundai","Santa Fe Sport",2,2018,97.83828,402,19.803575,26.33865,3766.5
"BMW","Z3",2,1999,97.62883,NA,NA,NA,NA
"Volkswagen","EuroVan",2,2002,97.62883,NA,NA,NA,NA
"Saab","9-2X",2,2005,97.61317,NA,NA,NA,NA
"Honda","Prelude",2,1994,97.52923,NA,NA,NA,NA
"Cadillac","XTS",2,2014,97.34916,417,17.9383,27.6447,4110.5
"Hyundai","Santa Fe XL",2,2018,97.18625,NA,NA,NA,NA
"Toyota","Scion tC",2,2008,92.8926,NA,NA,NA,NA
"GMC","P3500",1,1997,91.88616,NA,NA,NA,NA
"Chevrolet","P30",1,1984,91.21454,NA,NA,NA,3283.5
"Infiniti","Other",1,2016,90.93763,NA,NA,NA,NA
"Mitsubishi","Eclipse Spyder",1,2008,89.35486,435.845693779904,17.5,25.5,NA
"Chrysler","Lebaron",2,1992,87.8541,NA,NA,NA,NA
"Porsche","Cayman",2,2006,84.70818,423.190476190476,18,25.5,2965
"Jaguar","XJ8",1,2004,84.49245,467.736842105263,16,25,3766
"Lexus","Ot",2,2020,83.98146,NA,NA,NA,NA
"Chrysler","Voyager",2,2002,83.58178,508.243464052288,15.5,21.5,3766
"Buick","Terraza",2,2007,83.1446,467.736842105263,16,23,4470
"Suzuki","Kizashi",2,2012,82.98169,362.885833333333,21.6497,29.33425,3329
"Volvo","850 Series",2,1996,82.96809,NA,NA,NA,NA
"Audi","RS7",1,2016,78.19467,NA,NA,NA,4440
"Oldsmobile","Toronado",1,1992,77.45666,467.736842105263,16,24,3354
"Dodge","Sprinter 3500",1,2006,68.31506,NA,NA,NA,NA
"Chevrolet","C3500",1,1996,66.94717,NA,NA,NA,NA
"Buick","Cascada",1,2017,62.75578,395,20.0221,26.5822,3979
"Volvo","Other",1,2005,60.48733,NA,NA,NA,NA
"Ford","Contour",1,1999,58.93077,404.790890269151,19,27,2921
"Jaguar","XJR",1,2001,56.3786,555.4375,14,20,4050
"Kia","Forte5",1,2017,55.1792,NA,NA,NA,NA
"Ford","Transit Wagon",1,2017,54.81747,NA,NA,NA,NA
"Chevrolet","K2500",1,1989,54.19469,634.785714285714,13,16,NA
"Infiniti","QX56",1,2012,53.37647,555.4375,13.63315,19.81865,5720
"Dodge",NA,1,2015,53.2145,NA,NA,NA,NA
"Ford","Tempo",1,1993,52.96278,423.190476190476,19,25.5,2566
"Plymouth","Sundance",1,1991,52.79231,403.954545454545,20,25.5,2551
"Chrysler","Crossfire",1,2008,52.78703,458.456349206349,17,24,3100.5
"Ford","E-350",1,2003,52.3888,NA,NA,NA,NA
"Volvo","C70",1,2002,52.35612,428.480357142857,18,25.25,3668
"Kia","Spectra5",1,2006,51.90744,NA,NA,NA,2701
"Chevrolet","C10",1,1986,51.8368,607.319024725275,13.25,17,3282
"Jaguar","XF",1,2014,51.8368,443.5,17.0163,26.39965,3660
"Infiniti","M35",1,2006,51.48661,493.722222222222,16,22.5,3792
"Porsche","944",1,1984,51.48661,469.036111111111,17,22.5,2778
"Infiniti","QX70",1,2017,51.43513,471.5,16.59305,22.72955,4265
"GMC","R2500",1,1987,51.33959,NA,NA,NA,NA
"Geo","Metro",1,1997,50.68337,253.914285714286,33,39,1830
"Ford","E-350 Wagon",1,1995,50.53705,NA,NA,NA,NA
"GEM","Other",1,2013,50.40855,NA,NA,NA,NA
"Chevrolet","Metro",1,1998,50.38944,253.914285714286,33,39,1895
"Plymouth","Voyager",1,2000,50.38944,467.736842105263,16,23,3602
"Chrysler","Grand Voyager",1,2010,50.29841,NA,NA,NA,NA
"Infiniti","G35x",1,2007,50.21494,467.736842105263,17,23,NA
"Ford","Explorer Sport",1,2003,50.19192,556.526593137255,14.5,18.75,3861.5
"Hummer","H3",1,2009,50.19192,555.4375,14,18,4789
"Infiniti","M37x",1,2013,50.19192,447,17.5243,23.8388,NA
"Audi","A3/S3",1,2015,50.15297,NA,NA,NA,NA
"Dodge","Stealth",1,1993,50.02672,493.722222222222,16,22,3169.5
"Kia","Other",1,2019,50.0255,NA,NA,NA,NA
"Acura","CL",1,1999,49.69443,403.954545454545,20,27,3188.5
"Mazda","Protege5",1,2002,49.60882,NA,NA,NA,NA
"Nissan","Pickup",1,1997,49.60882,NA,NA,NA,NA
"Fiat","124 Spider",1,2017,49.57392,300,25.7905,35.7568,2436
"Kia","Rio5",1,2006,49.57392,NA,NA,NA,NA
"Land Rover","Discovery Sport",1,2016,49.57392,401,19.8039,25.9337,3854
"Genesis","G80",1,2018,49.56438,447.5,17.22665,24.72545,4519
"Dodge","Spirit",1,1992,49.54632,444.35,18,25,2708
"Toyota","Supra",1,1989,49.5281,493.722222222222,16,21,3494.5
"Bertone","X1/9",1,1986,49.07929,403.954545454545,20,26,NA
"Ford","Probe",1,1994,49.07929,415.370652173913,18.5,26.5,2805.5
"Mercedes-Benz","G",1,2004,49.07929,NA,NA,NA,5481.5
"Mercury","Capri",1,1992,49.07929,386.391304347826,21,26,2451
"Subaru","Baja",1,2005,49.07929,445.46365914787,18,24,3545
"Cadillac","Brougham",1,1989,49.06276,493.722222222222,15,22,4076
"Fiat","500e",1,2017,49.06276,0,NA,NA,NA
"Genesis","Other",1,2016,49.06276,NA,NA,NA,NA
"Lotus","Elise/Exige",1,2006,49.06276,403.954545454545,19,27,NA
"Nissan","NV2500HD",1,2014,49.06276,NA,NA,NA,NA
"Infiniti","Q60",1,2018,49.0471,379,20.8507,29.0291,3900.5
"Toyota","Paseo",1,1996,49.0471,323.270502645503,25,31.5,2025
"Buick","Regal TourX",1,2018,48.99101,366,21.2652,29.287,3816
"Infiniti","QX30",1,2018,48.99101,324,24.1397,32.9834,3344.5
"Cadillac","Other",1,1991,48.87369,NA,NA,NA,NA
"Lexus","HS",1,2012,48.87369,261.382352941176,34.8691,32.8285,3682
"Mercedes-Benz","CLK",1,2008,48.87369,NA,NA,NA,3897.5
"Chevrolet","G20",1,1995,48.84647,NA,NA,NA,4052
"Cadillac","Escalade EXT",1,2005,48.77552,NA,NA,NA,NA
"Mercury","Tracer",1,1999,48.77552,336.436428571429,23,32.5,2498
"Toyota","C-HR",1,2018,48.77552,305,27.0745,31.2658,3300
"Toyota","T100",1,1998,48.77552,534.601428663571,15.5,18.5,4022.5
"Eagle","Vision",1,1997,48.75371,467.736842105263,16,24,3435
"GMC","G1500 Vandura",1,1992,48.75371,NA,NA,NA,NA
"Hyundai","Ioniq",1,2018,48.75371,163,54.7251,54.4521,3073
"Hyundai","Veloster",1,2015,48.75371,311,25.0329,33.3567,2692
"Toyota","Corolla iM",1,2018,48.75371,290,27.4656,35.23935,2998
"GMC","Envoy XUV",1,2004,48.65177,NA,NA,NA,NA
"Suzuki","Aerio",1,2005,48.63104,370.291666666667,22,28,2698
"Acura","NSX",1,2004,48.57364,493.722222222222,16,22,3153
"Audi","allroad",1,2002,48.57364,NA,NA,NA,4079
"Chevrolet","Malibu Limited",1,2016,48.57364,329,23.442,32.8468,3439
"Ford","Mustang Shelby",1,2017,48.57364,NA,NA,NA,NA
"Mercury","Mystique",1,1999,48.57364,404.790890269151,19,27,2814.5
"Ram","ProMaster 2500",1,2016,48.57364,NA,NA,NA,2632
"Volkswagen","Cabriolet",1,1992,48.57364,370.935652173913,21.5,27.5,2224
"Chevrolet","El Camino",1,1985,48.56607,522.764705882353,15,20,3367
"Dodge","Lancer",1,1985,48.56607,423.190476190476,19,25,NA
"Honda","Civic del SOL",1,1996,48.56607,NA,NA,NA,NA
"Jaguar","Other",1,2006,48.56607,NA,NA,NA,NA
"Jaguar","XE",1,2017,48.56607,368,20.6019,30.4124,3582.5
"Mazda","Truck",1,2003,48.56607,NA,NA,NA,NA
"Delorean","DMC-12",1,1981,48.55201,NA,NA,NA,NA
"Fisker","Karma",1,2012,48.55201,169,19.7,21.4,NA
"Tesla","Model X",1,2016,48.55201,0,NA,NA,5441
"Mazda","MazdaSpeed6",1,2006,35.7639,NA,NA,NA,NA
"Fiat","500 ABARTH",1,2013,35.65944,NA,NA,NA,NA
"Honda",NA,1,2008,35.59309,NA,NA,NA,NA
"Oldsmobile","Cutlass",1,1984,35.53595,424.166666666667,20,28,3251.75
"Jaguar","F-Type",1,2014,35.10701,405,19.2932,26.8407,3558
"Mazda","MPV",1,2001,34.93574,493.722222222222,16,21,3657
"Isuzu","Ascender",1,2004,34.90284,564.694791666667,13.75,18.5,4240
"Chevrolet","Captiva Sport",1,2014,34.73227,NA,NA,NA,NA
"Aston Martin","Vanquish",1,2018,34.72058,555,13.466,20.7097,3834
"Nissan","NV200",1,2014,34.50187,363,23.5267,25.2844,3186
"Plymouth","Grand Voyager",1,1997,34.50187,467.736842105263,16.5,22.5,3687
"Volvo","S60 Inscription",1,2018,34.50187,321,23.83455,34.2558,NA
"Mitsubishi","Lancer Sportback",1,2010,34.36908,403.954545454545,20,27,NA
"smart","fortwo",1,2011,34.36908,123.430555555556,33.0269,39.0821,1808
"Toyota","Scion iA",1,2016,34.36908,253.5,31.56055,40.3571,2385
"Volkswagen","Golf R",1,2016,34.36908,350.5,22.16925,30.09355,3258.5
"Suzuki","Sidekick",1,1993,0,409.181700545831,20.75,23.5,NA
"Suzuki","XL-7",1,2004,0,NA,NA,NA,NA
